dyad_id,scenario_id,scenario_type,cond_a,cond_b,role_a,role_b,replicate,model_a,model_b,deal,deal_terms_json,rounds_to_deal,value_claimed_a,value_claimed_b,points_a,points_b,value_created,split,warmth_a_mean,dominance_a_mean,warmth_b_mean,dominance_b_mean,svi_a_mean,svi_b_mean,cost_usd_est,notes,mock
merger_NEU_NEU_acq_fou_r00_e152f9,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,0,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",4,60.0,24.0,360.0,324.0,684.0,0.5263157894736842,22.5,25.0,17.5,25.0,37.5,87.5,0.00651,,0
merger_NEU_NEU_acq_fou_r01_a634c7,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,1,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""12"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",4,-24.0,60.0,276.0,360.0,636.0,0.4339622641509434,22.5,25.0,17.5,25.0,42.5,86.0,0.00651,Agent A (acquirer) accepted a deal below BATNA (276.0 < 300.0).,0
merger_NEU_NEU_acq_fou_r02_32a8d8,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,2,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""5"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",4,84.0,0.0,384.0,300.0,684.0,0.5614035087719298,22.5,25.0,17.5,22.5,32.5,75.0,0.006520000000000001,,0
merger_NEU_NEU_acq_fou_r03_63d979,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,3,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",4,36.0,48.0,336.0,348.0,684.0,0.49122807017543857,22.5,12.5,37.5,7.5,47.5,87.5,0.00587,,0
merger_NEU_NEU_acq_fou_r04_e07ea3,merger,integrative,NEUTRAL,NEUTRAL,acquirer,founder,4,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""10"", ""integration_months"": ""12"", ""brand_retention_yrs"": ""5"", ""esg_clause"": ""2""}",7,38.0,186.0,338.0,486.0,824.0,0.41019417475728154,12.5,15.0,0.0,0.0,87.5,42.5,0.00837,,0
merger_NEU_NEU_fou_acq_r00_30b3bf,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,0,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",3,48.0,36.0,348.0,336.0,684.0,0.5087719298245614,22.5,7.5,17.5,12.5,79.0,12.5,0.0059700000000000005,,0
merger_NEU_NEU_fou_acq_r01_435bf5,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,1,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",3,48.0,36.0,348.0,336.0,684.0,0.5087719298245614,22.5,7.5,17.5,25.0,86.0,7.5,0.007630000000000001,,0
merger_NEU_NEU_fou_acq_r02_9614f5,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,2,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""5"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""2""}",9,50.0,134.0,350.0,434.0,784.0,0.44642857142857145,17.5,20.0,12.5,25.0,87.5,0.0,0.01134,,0
merger_NEU_NEU_fou_acq_r03_b9465c,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,3,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",3,48.0,36.0,348.0,336.0,684.0,0.5087719298245614,22.5,7.5,17.5,12.5,86.0,12.5,0.006790000000000001,,0
merger_NEU_NEU_fou_acq_r04_846833,merger,integrative,NEUTRAL,NEUTRAL,founder,acquirer,4,gpt-4o-mini,gpt-4o-mini,1,"{""cash_price_musd"": ""55"", ""founder_equity_pct"": ""15"", ""integration_months"": ""18"", ""brand_retention_yrs"": ""2"", ""esg_clause"": ""1""}",3,48.0,36.0,348.0,336.0,684.0,0.5087719298245614,42.5,7.5,17.5,25.0,79.0,12.5,0.006790000000000001,,0
