dyad_id,scenario_id,scenario_type,cond_a,cond_b,role_a,role_b,replicate,model_a,model_b,deal,deal_terms_json,rounds_to_deal,value_claimed_a,value_claimed_b,points_a,points_b,value_created,split,warmth_a_mean,dominance_a_mean,warmth_b_mean,dominance_b_mean,svi_a_mean,svi_b_mean,cost_usd_est,notes,mock
chair_NEU_NEU_buy_sel_r00_c730dd,chair,distributive,NEUTRAL,NEUTRAL,buyer,seller,0,gpt-4o-mini,gpt-4o-mini,1,"{""price"": 300}",4,120.0,0.0,,,,1.0,61.0,25.0,66.0,25.0,42.5,75.0,0.0051,,0
chair_NEU_NEU_buy_sel_r01_fbdd10,chair,distributive,NEUTRAL,NEUTRAL,buyer,seller,1,gpt-4o-mini,gpt-4o-mini,1,"{""price"": 367}",13,53.0,67.0,,,,0.44166666666666665,66.0,21.5,60.0,25.0,66.0,16.0,0.007650000000000001,,0
chair_NEU_NEU_buy_sel_r02_b8f8cf,chair,distributive,NEUTRAL,NEUTRAL,buyer,seller,2,gpt-4o-mini,gpt-4o-mini,1,"{""price"": 420}",7,0.0,120.0,,,,0.0,66.0,25.0,66.0,26.5,56.0,21.0,0.005679999999999999,,0
chair_NEU_NEU_buy_sel_r03_44966d,chair,distributive,NEUTRAL,NEUTRAL,buyer,seller,3,gpt-4o-mini,gpt-4o-mini,1,"{""price"": 420}",7,0.0,120.0,,,,0.0,66.0,25.0,66.0,26.5,87.5,17.5,0.005569999999999999,,0
chair_NEU_NEU_buy_sel_r04_c4351e,chair,distributive,NEUTRAL,NEUTRAL,buyer,seller,4,gpt-4o-mini,gpt-4o-mini,1,"{""price"": 420}",9,0.0,120.0,,,,0.0,66.0,25.0,66.0,25.0,85.0,12.5,0.006920000000000001,,0
chair_NEU_NEU_sel_buy_r00_f1024d,chair,distributive,NEUTRAL,NEUTRAL,seller,buyer,0,gpt-4o-mini,gpt-4o-mini,1,"{""price"": 365}",14,65.0,55.0,,,,0.5416666666666666,66.0,26.5,67.5,25.0,12.5,86.0,0.00767,,0
chair_NEU_NEU_sel_buy_r01_cb0845,chair,distributive,NEUTRAL,NEUTRAL,seller,buyer,1,gpt-4o-mini,gpt-4o-mini,1,"{""price"": 420}",13,120.0,0.0,,,,1.0,66.0,26.5,66.0,39.0,97.5,17.5,0.008190000000000001,,0
chair_NEU_NEU_sel_buy_r02_f6ad8f,chair,distributive,NEUTRAL,NEUTRAL,seller,buyer,2,gpt-4o-mini,gpt-4o-mini,1,"{""price"": 375}",14,75.0,45.0,,,,0.625,66.0,26.5,67.5,25.0,37.5,86.0,0.00775,,0
chair_NEU_NEU_sel_buy_r03_bffd39,chair,distributive,NEUTRAL,NEUTRAL,seller,buyer,3,gpt-4o-mini,gpt-4o-mini,1,"{""price"": 420}",4,120.0,0.0,,,,1.0,58.5,26.5,66.0,26.5,57.5,100.0,0.00525,,0
chair_NEU_NEU_sel_buy_r04_dee4ca,chair,distributive,NEUTRAL,NEUTRAL,seller,buyer,4,gpt-4o-mini,gpt-4o-mini,0,,,0.0,0.0,,,,,66.0,44.0,66.0,26.5,12.5,0.0,0.00977,Impasse: both agents take BATNA.,0
