dyad_id,scenario_id,scenario_type,cond_a,cond_b,role_a,role_b,replicate,model_a,model_b,deal,deal_terms_json,rounds_to_deal,value_claimed_a,value_claimed_b,points_a,points_b,value_created,split,warmth_a_mean,dominance_a_mean,warmth_b_mean,dominance_b_mean,svi_a_mean,svi_b_mean,cost_usd_est,notes,mock
chair_NEU_NEU_buy_sel_r00_c730dd,chair,distributive,NEUTRAL,NEUTRAL,buyer,seller,0,claude-haiku-4-5,claude-haiku-4-5,1,"{""price"": 395}",7,25.0,95.0,,,,0.20833333333333334,74.0,23.5,71.0,49.0,85.0,76.0,0.01972,,0
chair_NEU_NEU_buy_sel_r01_fbdd10,chair,distributive,NEUTRAL,NEUTRAL,buyer,seller,1,claude-haiku-4-5,claude-haiku-4-5,1,"{""price"": 377}",8,43.0,77.0,,,,0.35833333333333334,71.5,23.5,74.0,26.5,81.0,81.0,0.014729999999999998,,0
chair_NEU_NEU_buy_sel_r02_b8f8cf,chair,distributive,NEUTRAL,NEUTRAL,buyer,seller,2,claude-haiku-4-5,claude-haiku-4-5,1,"{""price"": 362}",9,58.0,62.0,,,,0.48333333333333334,72.5,25.0,74.0,34.0,91.0,81.0,0.02028,,0
chair_NEU_NEU_buy_sel_r03_44966d,chair,distributive,NEUTRAL,NEUTRAL,buyer,seller,3,claude-haiku-4-5,claude-haiku-4-5,1,"{""price"": 370}",9,50.0,70.0,,,,0.4166666666666667,71.5,29.0,71.0,49.0,86.0,71.0,0.02439,,0
chair_NEU_NEU_buy_sel_r04_c4351e,chair,distributive,NEUTRAL,NEUTRAL,buyer,seller,4,claude-haiku-4-5,claude-haiku-4-5,1,"{""price"": 395}",7,25.0,95.0,,,,0.20833333333333334,74.0,26.5,71.0,39.0,83.5,51.0,0.01894,,0
chair_NEU_NEU_sel_buy_r00_f1024d,chair,distributive,NEUTRAL,NEUTRAL,seller,buyer,0,claude-haiku-4-5,claude-haiku-4-5,1,"{""price"": 365}",6,65.0,55.0,,,,0.5416666666666666,66.0,49.0,66.0,26.5,66.0,78.5,0.014040000000000002,,0
chair_NEU_NEU_sel_buy_r01_cb0845,chair,distributive,NEUTRAL,NEUTRAL,seller,buyer,1,claude-haiku-4-5,claude-haiku-4-5,1,"{""price"": 410}",7,110.0,10.0,,,,0.9166666666666666,71.0,34.0,68.5,37.5,80.0,76.0,0.01878,,0
chair_NEU_NEU_sel_buy_r02_f6ad8f,chair,distributive,NEUTRAL,NEUTRAL,seller,buyer,2,claude-haiku-4-5,claude-haiku-4-5,1,"{""price"": 390}",8,90.0,30.0,,,,0.75,71.0,34.0,68.5,29.0,82.5,89.0,0.018649999999999996,,0
chair_NEU_NEU_sel_buy_r03_bffd39,chair,distributive,NEUTRAL,NEUTRAL,seller,buyer,3,claude-haiku-4-5,claude-haiku-4-5,1,"{""price"": 400}",8,100.0,20.0,,,,0.8333333333333334,66.0,49.0,71.0,49.0,76.0,76.0,0.019520000000000003,,0
chair_NEU_NEU_sel_buy_r04_dee4ca,chair,distributive,NEUTRAL,NEUTRAL,seller,buyer,4,claude-haiku-4-5,claude-haiku-4-5,1,"{""price"": 388}",8,88.0,32.0,,,,0.7333333333333333,74.0,39.0,71.5,29.0,84.5,86.5,0.018199999999999997,,0
chair_NEU_WAR_buy_sel_r00_c7ba46,chair,distributive,NEUTRAL,WARMTH,buyer,seller,0,claude-haiku-4-5,claude-haiku-4-5,1,"{""price"": 375}",7,45.0,75.0,,,,0.375,79.0,29.0,89.0,23.5,75.0,58.5,0.02004,,0
chair_NEU_WAR_buy_sel_r01_e2f4d8,chair,distributive,NEUTRAL,WARMTH,buyer,seller,1,claude-haiku-4-5,claude-haiku-4-5,1,"{""price"": 390}",8,30.0,90.0,,,,0.25,74.0,37.5,93.5,24.0,79.0,86.5,0.027059999999999997,,0
chair_NEU_WAR_buy_sel_r02_b63fdc,chair,distributive,NEUTRAL,WARMTH,buyer,seller,2,claude-haiku-4-5,claude-haiku-4-5,1,"{""price"": 370}",7,50.0,70.0,,,,0.4166666666666667,85.0,22.5,91.0,24.0,84.0,79.0,0.023,,0
chair_NEU_WAR_buy_sel_r03_ed8c32,chair,distributive,NEUTRAL,WARMTH,buyer,seller,3,claude-haiku-4-5,claude-haiku-4-5,1,"{""price"": 360}",7,60.0,60.0,,,,0.5,74.0,23.5,87.5,25.0,87.5,81.0,0.02187,,0
